,MEAN,LN_SIGLC,TTS_0_0,TTS_0_1,TTS_0_2,TTS_0_3,TTS_0_4,TTS_0_5,TTS_0_6,TTS_0_7,TTS_0_8,TTS_0_9,TTS_0_10,TTS_0_11,TTS_0_12,TTS_0_13,LN_ROR_0,ROR_0,IMPACT_0,LD_U1,LD_U2,LN_DUR14_0,DUR14_0,PERIOD_0,T0_0,QUALITY
5249,-1.8046865108093516e-05,-6.893180990795724,1717.465538783519,1727.0739005456853,1871.3034841513452,1880.9291090678803,1890.5452628583253,1909.778028220852,1919.3901123606165,2428.9092162942347,2438.5245163823056,2611.596687071806,2621.216307772692,2630.8254085864137,2650.074988356747,2659.6710030508716,-3.577619104765102,0.02794214644409113,0.05945519728357946,0.2614600167108425,0.32366216442561724,-2.2303063857428223,0.10749549000430429,9.614202528636786,1717.4779961009604,0
5250,-1.0446293675094144e-05,-6.882202227069096,1717.4609079277618,1727.0814938063793,1871.3072556972622,1880.928558023007,1890.5453159435267,1909.7848348365917,1919.3932893156368,2428.9002740921574,2438.5203813733515,2611.5964801677974,2621.219045767648,2630.8273562771487,2650.083234877882,2659.670774799198,-3.582527803444597,0.027805322954114784,0.1764733150508191,0.40484803709761197,0.26768651463961457,-2.1866940532051786,0.1122873516931971,9.614187957082182,1717.479861554519,0
5251,-1.4161502183954806e-05,-6.894624132284218,1717.4621032929372,1727.0641770486445,1871.3014298035278,1880.9328117818197,1890.5467164592285,1909.7844404857478,1919.4032694511855,2428.903524062527,2438.519074717787,2611.5974682129176,2621.219119260503,2630.8273409616777,2650.068002803691,2659.683227320907,-3.5709393531448397,0.02812941780885324,0.07398151832337196,0.29182896688037707,0.3031917916422402,-2.1967820392742468,0.11116029288848742,9.61421154710616,1717.4781859495554,0
5252,-3.491527413740398e-06,-6.882769514282025,1717.4582335647945,1727.0693066076756,1871.3032383105067,1880.9280211123082,1890.5456237632386,1909.7765410631725,1919.3942905266904,2428.901702964175,2438.5273695144115,2611.5974498314818,2621.2151594760035,2630.8234852172354,2650.083448818566,2659.6687656499957,-3.539486816694662,0.02902822005837448,0.694232011925203,0.3963286097617891,0.315227416260506,-2.1457233136803304,0.11698339074800537,9.614232344323892,1717.4756843465266,0
5253,1.6863777869989305e-05,-6.890728584245216,1717.4610245030517,1727.0662006901475,1871.319302528416,1880.9280685827132,1890.5505617954632,1909.7748913873845,1919.4007266783042,2428.9028897034436,2438.5195295895546,2611.6017464990796,2621.2198901543143,2630.8278864438466,2650.0720630944375,2659.669837884629,-3.571444479029953,0.02811521249982151,0.08783956233300383,0.2557988244906253,0.3584093570990856,-2.1722573611339873,0.11392016748353954,9.614189356633835,1717.4794622939335,0
5254,5.602854272073193e-06,-6.899557827691302,1717.4597680657218,1727.068664922393,1871.3062926678228,1880.9268318965348,1890.5505319761544,1909.7765597076088,1919.4004365781168,2428.9081645275623,2438.519453902074,2611.599651990634,2621.220068255837,2630.8235339771636,2650.073605382099,2659.669306593606,-3.5498251082791747,0.02872966379522617,0.045578390096889965,0.29895468545045745,0.270250108149809,-2.1668605918284407,0.11453663030429996,9.614203092955245,1717.4779176148938,0
5255,-5.182668220313666e-06,-6.8807651553823215,1717.4574468318583,1727.0745633089543,1871.3068508641204,1880.9397550593856,1890.5355103361542,1909.777638574464,1919.3989729854247,2428.901045477224,2438.5201398000463,2611.5997445921817,2621.2151614605846,2630.8373152630984,2650.073153217864,2659.6685888515876,-3.5661424495352976,0.028264676065724338,0.028262260620996443,0.3621304089199133,0.225160540464574,-2.169123599052456,0.1142777261439912,9.614206227242468,1717.477972088258,0
5256,7.375258985152314e-06,-6.882722127193956,1717.4590753772818,1727.0737979637674,1871.306056433367,1880.937925806406,1890.5435866292328,1909.7733837535513,1919.4026003388299,2428.89575069908,2438.522220140303,2611.60161570429,2621.21748267087,2630.8335518176027,2650.074101485562,2659.670269124677,-3.5518131180754673,0.028672605676998076,0.03962367688624035,0.2845110804734561,0.25667110197537646,-2.170047173174149,0.11417223091726823,9.614199844261396,1717.4786949943482,0
5257,-2.5242175032789555e-06,-6.87785123468371,1717.4495324263667,1727.0760991564978,1871.305008046149,1880.9345094368175,1890.5461680884105,1909.7753425489555,1919.397899987296,2428.9027509934394,2438.5222202835494,2611.597892008425,2621.2195932842883,2630.825711453359,2650.0668813926604,2659.6706627469225,-3.5514344412934875,0.028683465383076322,0.048030601678209384,0.4128663431002342,0.29238524424884704,-2.192975934123707,0.1115841868325217,9.614198158267422,1717.4772711470614,0
5258,-1.088891754123133e-05,-6.888696614729134,1717.460881921996,1727.075929859691,1871.304135877497,1880.9314935600974,1890.5452772415167,1909.7742985767034,1919.398355415049,2428.9032948606728,2438.519835231354,2611.5976848317755,2621.2115262321126,2630.8250669394224,2650.076389815567,2659.669037734996,-3.558686254570321,0.028476210642597387,0.17578402437114077,0.2014776804430718,0.3142264375502606,-2.1798885149722214,0.11305413378115114,9.614176769915055,1717.4785793235376,0
