,MEAN,LN_SIGLC,TTS_0_0,TTS_0_1,TTS_0_2,TTS_0_3,TTS_0_4,TTS_0_5,TTS_0_6,TTS_0_7,TTS_0_8,TTS_0_9,TTS_0_10,TTS_0_11,TTS_0_12,TTS_0_13,TTS_0_14,LN_ROR_0,ROR_0,IMPACT_0,LD_U1,LD_U2,LN_DUR14_0,DUR14_0,PERIOD_0,T0_0,QUALITY
3668,8.631769350034491e-06,-6.282107376205811,1700.7260348329908,1738.6399185177054,1852.4015073158362,1890.3151601687587,1966.1529286045309,2004.0637225430808,2421.24018167812,2648.836734916663,2686.7581015651404,2724.6675992426135,2762.6050534633314,2800.548072118835,2838.4957955559066,2876.3733674775553,2914.317492986135,-3.344269630727245,0.035285977542197804,0.24603238478824868,0.4394095130083078,0.4043345302740924,-1.9250981535253717,0.14586143933909457,37.925521563976325,1700.6933203723763,0
3669,1.6823155239771028e-05,-6.2785885543634485,1700.7396256708353,1738.6377679906866,1852.4039298465157,1890.3171725778934,1966.1500638395612,2004.0661436604278,2421.2339114182632,2648.848534600404,2686.7565268858893,2724.6695385319076,2762.5989308963644,2800.5508972213165,2838.489938450649,2876.3752612983894,2914.3093133290513,-3.3662179906057994,0.0345199455330445,0.05990058915089471,0.49510905351947154,0.3191549967735572,-1.907377899749369,0.14846917771615728,37.92534697380604,1700.69687862286,0
3670,4.726085392972976e-06,-6.28180245095227,1700.7371907234174,1738.6335263172166,1852.4022942387382,1890.316676738039,1966.150764265202,2004.0665400423163,2421.2344347924304,2648.8459838543863,2686.7590072871913,2724.6622001870264,2762.6036207671714,2800.5472412782547,2838.498408916981,2876.3756953606567,2914.3099995680554,-3.350128619452566,0.0350798418606141,0.06082179772737159,0.490121130511213,0.277337636881112,-1.9132085466767272,0.14760602517549537,37.9254384110663,1700.6949557684698,0
3671,1.0176901882263431e-05,-6.284612543117136,1700.7379655190339,1738.6372797982613,1852.4008376671736,1890.3202128566047,1966.1539670480463,2004.0651597457286,2421.2395731547963,2648.843674283618,2686.7575767890157,2724.671218025961,2762.6108124974126,2800.550348293906,2838.4903227595637,2876.374281842122,2914.3137868454473,-3.3546046018641786,0.03492317598385733,0.0825952406719277,0.4060861995792202,0.33246425077418484,-1.9306768020866478,0.14504999511588754,37.925426408431505,1700.6967356022221,0
3672,3.736100166087131e-05,-6.275622609610074,1700.7370245283946,1738.6582549445577,1852.4027029015244,1890.3174154194703,1966.1535383371324,2004.0715574861317,2421.239351995496,2648.8130938622357,2686.754654497828,2724.665219481132,2762.60927239369,2800.5476973749624,2838.496742475932,2876.3742404164245,2914.311907345247,-3.315833415087057,0.03630377984804161,0.39284019004802817,0.4703754261534323,0.20346909574505623,-1.9163346257687592,0.1471453175457645,37.92510962629784,1700.7015236738082,0
3673,2.0918722540811208e-05,-6.274876045098833,1700.7431595122393,1738.6539246088576,1852.4025913065227,1890.3114748038092,1966.1541250342868,2004.0681462375885,2421.249497732651,2648.8254332113584,2686.759744912004,2724.6753700819245,2762.602452216415,2800.540319657773,2838.4886642221527,2876.3773901171003,2914.3132344010874,-3.252933010268504,0.03866064929757955,0.785653491723756,0.41051266066913783,0.16088313198209492,-1.9210901185606883,0.1464472302389737,37.925161304295735,1700.701443552489,0
3674,-8.36144815032191e-07,-6.285166959352976,1700.7246228073723,1738.6603725943169,1852.3982858500342,1890.3231396189412,1966.131031553787,2004.0658698224177,2421.248171063669,2648.828435370341,2686.7499415350294,2724.661846513246,2762.6111515063976,2800.5556148472233,2838.5014550356004,2876.371920808924,2914.3081389766994,-3.2755695775985907,0.0377953357208474,0.6793847625720683,0.22121523874426585,0.32777818014233673,-1.9316419386985835,0.1449100695895259,37.9253961347643,1700.6954832832075,0
3675,2.0438663395971826e-05,-6.284215593461943,1700.748010223981,1738.6490381072806,1852.4020479679602,1890.3293731624494,1966.1633933469943,2004.0633900220034,2421.2321202791877,2648.8286863713442,2686.7660402038496,2724.665129028098,2762.5980486658987,2800.5421610981048,2838.5096376493143,2876.376339091882,2914.317938416233,-3.219149907899575,0.03998903818103794,0.7692994241360624,0.603793703836329,0.3248380784792997,-1.7957474827905042,0.16600332133385112,37.925140837961536,1700.7035363806026,0
3676,3.136280277907811e-05,-6.284482922754031,1700.728875440545,1738.630980399031,1852.3994266399188,1890.3283753199878,1966.1524628418197,2004.0632418755788,2421.235916505878,2648.824274541637,2686.753717207997,2724.6517799737735,2762.593228840743,2800.548720137523,2838.4868570023896,2876.3768497666706,2914.317446660116,-3.14127129084691,0.04322780783875266,0.902713443453822,0.3158383362483239,0.1969364934780813,-1.836249206476491,0.15941423603590862,37.92530119095971,1700.694015280836,0
3677,4.121267378686559e-05,-6.282636236320467,1700.7282251785377,1738.6299892058623,1852.399365654626,1890.327226019945,1966.1511905856228,2004.0635026148423,2421.2372701991353,2648.8259331304716,2686.7554439357814,2724.6538803300186,2762.5920780013093,2800.5508585119765,2838.4874496858,2876.3768889868174,2914.3175835035076,-3.129541080831009,0.043737864792273366,0.917720957034283,0.2891424205741102,0.18874131201733646,-1.833257157599307,0.15989192550058973,37.92535879639036,1700.69328619507,0
3678,-7.784237694239123e-07,-6.2790091175234615,1700.7247189198342,1738.6556915739718,1852.3984328915506,1890.327203477633,1966.1455735924915,2004.063506257329,2421.2447824801598,2648.8330174685584,2686.7546238684176,2724.6760650636875,2762.611092086979,2800.5472829667847,2838.5076134719807,2876.3723742183593,2914.313016528215,-3.27503643965964,0.037815491220588957,0.7144107149730992,0.5021382139191677,0.45711919098540643,-1.8488285874891388,0.1574214638205479,37.92545824880916,1700.6966900793234,0
