,MEAN,LN_SIGLC,TTS_0_0,TTS_0_1,TTS_0_2,LN_ROR_0,ROR_0,IMPACT_0,LD_U1,LD_U2,LN_DUR14_0,DUR14_0,PERIOD_0,T0_0,QUALITY
894,-8.593796943711553e-06,-7.708569319321421,1748.6934092948982,1937.8216076572685,2673.363662454021,-3.1565326192976224,0.04257310260803582,0.16418928329897453,0.3254929966889284,0.1668503851160006,-1.7518528914167053,0.1734522573189493,21.01530439301328,1748.689182192161,0
895,1.171317425130904e-05,-7.680948681799103,1748.6935108418456,1937.823124426888,2673.3662540623154,-3.1616991214151215,0.04235371580246343,0.23665206531715707,0.4314379203148828,0.19745616503505636,-1.7351201270900087,0.17637901111632479,21.01535372029796,1748.6897140517524,0
896,1.0217781132258298e-05,-7.680713024152083,1748.6936499762153,1937.8233649666522,2673.36635477452,-3.161299690312191,0.04237063657299566,0.37391596952396716,0.4390222725738788,0.20550686451600297,-1.7353255221017145,0.17634278746747764,21.015351970794157,1748.6899050884326,0
897,-2.5662847764489674e-05,-7.68605133125509,1748.6923001818802,1937.8222699374835,2673.363222993372,-3.1585209698460113,0.04248853645755564,0.1213838408890609,0.30556490071098374,0.208227761469173,-1.754771297292409,0.1729467911684858,21.01530650476932,1748.6888494533205,0
898,2.830331240693893e-05,-7.693997353979121,1748.6941543202654,1937.8226600052521,2673.366181812525,-3.1616798114409246,0.0423545336595191,0.2802113040595522,0.45363660604784317,0.20715906830941377,-1.7373715413789084,0.17598235557596068,21.015345164737457,1748.689900802319,0
899,2.6605148534530067e-05,-7.697473276804796,1748.694281811144,1937.8228277385406,2673.366053782502,-3.1655226893234927,0.04219208269841417,0.20034322659013848,0.4682086110546544,0.17686881164919388,-1.743113127933243,0.1749748328067939,21.015338615553695,1748.6900722359471,0
900,1.5193657517576232e-05,-7.686881526978509,1748.6943809273534,1937.8215072111243,2673.365828725754,-3.149351428054437,0.042879928569061275,0.40870060032346267,0.4305092808060176,0.2702264318622323,-1.731661966114682,0.17699001399367822,21.01534210138669,1748.6895284969123,0
901,-9.282651771496436e-06,-7.699456359598165,1748.6938075281646,1937.823453581322,2673.3645058999787,-3.1631107398755556,0.04229397069393876,0.1995607225536514,0.3882280572697392,0.1441919630291053,-1.7429446850485246,0.17500430855480534,21.01530363170613,1748.6902248430133,0
902,-3.489897901028622e-06,-7.695412425960523,1748.6928775413742,1937.8209201482466,2673.3649664320474,-3.1525968521868477,0.04274099059236865,0.160529721974112,0.3090718736441245,0.2174069530732099,-1.750235229584116,0.17373307148533323,21.0153503746405,1748.6883980885739,0
903,1.3608099577012075e-06,-7.687421001249848,1748.6941486774112,1937.8239023628482,2673.364545265481,-3.160241747032466,0.042415486023119786,0.13091328194748084,0.38939311015917144,0.2050514617006367,-1.7439876170711555,0.17482188610095972,21.015295414755137,1748.6906464412398,0
904,-4.432036235439181e-06,-7.694428573411689,1748.6942589231692,1937.8204181619608,2673.3648050711054,-3.1547825191923398,0.04264767503496478,0.1522271026914218,0.36988815095419847,0.18005101955167624,-1.7517835247209224,0.1734642895462287,21.015327885712036,1748.6890347378328,0
905,1.632063638549449e-06,-7.683262227620306,1748.6926164535896,1937.824675637583,2673.364644532648,-3.147639976565465,0.042953378321573706,0.45393900433119677,0.3728964370324701,0.2674334211502769,-1.7288563577598435,0.17748727589054758,21.015316680895072,1748.6900508454607,0
906,2.4058592699534784e-07,-7.67557785643831,1748.6944541484575,1937.8206825141076,2673.3659896402673,-3.1622006552427,0.0423324793071204,0.15093708089208083,0.3770042186341742,0.16564897593597805,-1.7536211270852027,0.1731458238539107,21.015351439341785,1748.6891666725728,0
907,-1.0946977637720452e-06,-7.677048592031722,1748.6943879765474,1937.820740971,2673.3660983598224,-3.165955493163491,0.04217382575412757,0.12366141858335332,0.39807417340105844,0.12281499034744336,-1.7563836596292925,0.17266816296129728,21.01535470154933,1748.689142708418,0
908,-1.601828980027165e-05,-7.685930417684081,1748.6939034870616,1937.8215305304082,2673.36515834052,-3.149099902875248,0.04289071530728949,0.07422305805600832,0.32006588885692056,0.18064551940887497,-1.7471186646958559,0.1742753664856911,21.015333383805125,1748.6893076721065,0
909,2.0968344977733424e-06,-7.686355717966543,1748.6928514872027,1937.82317367724,2673.36394909486,-3.167810007117377,0.042095686283541954,0.02207801925332705,0.3514877357834083,0.2780712413978599,-1.7459605625712322,0.1744773120721233,21.015307937712517,1748.6895511868463,0
