,MEAN,LN_SIGLC,TTS_0_0,TTS_0_1,TTS_0_2,TTS_0_3,TTS_0_4,TTS_0_5,TTS_0_6,TTS_0_7,TTS_0_8,TTS_0_9,TTS_0_10,TTS_0_11,TTS_0_12,TTS_0_13,TTS_0_14,TTS_0_15,TTS_0_16,LN_ROR_0,ROR_0,IMPACT_0,LD_U1,LD_U2,LN_DUR14_0,DUR14_0,PERIOD_0,T0_0,QUALITY
4611,4.580743987667563e-05,-6.7623035468955255,1690.053747487963,1699.0174643526814,1707.963831140684,1716.912329287058,1725.8804479635658,1734.8355968952192,1878.083569244017,1887.0292954774889,1896.0123374038826,1904.9208768403014,1922.8458163518253,2424.2449944883833,2442.144203132332,2612.249593631864,2621.232053970661,2630.172317810733,2648.0786261062303,-3.53347215305571,0.02920334115738235,0.27575117166790575,0.35484754051215694,0.26212502489540523,-2.129695146384344,0.11887352735379164,8.95344279419744,1690.0595329964422,0
4612,2.9415111005962057e-05,-6.766293327251355,1690.0506652186168,1699.0188918111835,1707.9617709287368,1716.9221785166815,1725.858576650386,1734.8369783134956,1878.083938127332,1887.0270299391616,1896.0204376873892,1904.9256994231976,1922.8539183706857,2424.240796615982,2442.1446372073565,2612.2593586540374,2621.229049653453,2630.168902831638,2648.0828293920504,-3.5768286496765063,0.027964242187630117,0.14691071183726656,0.35444729718850176,0.2068505877123501,-2.1134726461253694,0.12081768005429425,8.95346040143828,1690.0592948183278,0
4613,6.231494810867558e-05,-6.787738844183179,1690.0519197839108,1699.0256277676374,1707.9645627428274,1716.918716819423,1725.9076375794166,1734.8457994787138,1878.0696580365782,1887.028095497883,1896.0072681829747,1904.925730328073,1922.853812062932,2424.245504818081,2442.149206285848,2612.2417891088703,2621.216938055264,2630.1708154575053,2648.0735299918074,-3.5041837129107196,0.030071310150505175,0.5877300666457139,0.43819669631079816,0.30933422923037535,-2.032563101714602,0.1309993258844307,8.953331818320358,1690.06535471061,0
4614,4.381032902644141e-05,-6.788570936450067,1690.0517539426041,1699.0312016362723,1707.9609243043838,1716.9174076547436,1725.8985273270937,1734.8417538541833,1878.0699924821677,1887.028483612431,1896.0074696089312,1904.9263175911294,1922.851223389909,2424.239492550526,2442.146091328863,2612.2393260590534,2621.2185900216255,2630.1721938800592,2648.077122919251,-3.4746036823729094,0.03097410697556073,0.7203451751628186,0.48542891995319204,0.2872650650084374,-2.018500634024976,0.13285451335668047,8.953344583815136,1690.0637147148,0
4615,4.579408393265922e-05,-6.7914067312402215,1690.061722953202,1699.0262237788072,1707.9658070935564,1716.9171169310416,1725.8948537630656,1734.8394174776456,1878.0738334972318,1887.0233593490195,1896.009617749347,1904.9231864506098,1922.8560551278417,2424.2345801264637,2442.150554909083,2612.238568167489,2621.2255449459585,2630.168615626672,2648.0715527199,-3.521368791076453,0.02955894744110715,0.5122174054939046,0.5341753300543746,0.29157752597534503,-2.0866706700777176,0.12409961736229767,8.95333057155369,1690.0644659667348,0
4616,4.063736193542492e-05,-6.790431094370143,1690.056298043088,1699.0283892891619,1707.9631032282575,1716.9178243332424,1725.8879050773446,1734.8404455011691,1878.0713326722287,1887.021418686135,1896.013649486085,1904.9322003605462,1922.8527214795422,2424.23646435423,2442.1444618607534,2612.2562243422117,2621.218382519555,2630.1705498309652,2648.074093388278,-3.4822293903387322,0.030738805790580387,0.6896423398219598,0.6012079485373771,0.36261517438947544,-2.0234205754401224,0.1322024822269527,8.953366574328973,1690.063235131368,0
4617,5.239135801241331e-05,-6.777284851631621,1690.0558021140928,1699.0275013868834,1707.9652797107424,1716.9013717355379,1725.8796917568811,1734.8325572707536,1878.0719681103237,1887.024965064828,1896.0033494292047,1904.9253260467162,1922.845451812275,2424.233698041458,2442.1456475254085,2612.2715992634267,2621.214495569598,2630.1742919351095,2648.0763282488933,-3.4863256993006426,0.030613147687857386,0.6567328586104395,0.533658250759605,0.36700714898779285,-2.013217990802437,0.13355819336002228,8.953452051556885,1690.0575091827884,0
4618,3.625294531187252e-05,-6.776953081034657,1690.0566331519115,1699.0228395508525,1707.9642742540163,1716.921514438798,1725.9046025861576,1734.8286219545903,1878.0846456294084,1887.02656120039,1896.014654513597,1904.9234157298094,1922.8531254131894,2424.221674775034,2442.1446981483373,2612.2500607588413,2621.2182649785746,2630.1671886150393,2648.0776726470476,-3.4916475380925243,0.030450662195241635,0.6209081183506925,0.46829780947122157,0.43610674511006375,-2.0667316430331106,0.1265988765868356,8.953321414094283,1690.064842109064,0
4619,3.7513735846715915e-05,-6.7705527651098505,1690.0520904976026,1699.0306562320611,1707.9646328408514,1716.9175693178488,1725.8750038721575,1734.8378973566128,1878.083904841736,1887.0295930954633,1896.0066222439975,1904.9283968055595,1922.842714674377,2424.2576103907486,2442.144025154432,2612.2442565656806,2621.229568212617,2630.1712596926554,2648.0795596119633,-3.433755179914667,0.032265550048072966,0.8437912566313255,0.22577733878674944,0.20670813897964901,-2.05035443357923,0.12868928370024138,8.953424079963154,1690.0613953031034,0
4620,5.352536284260964e-05,-6.772187285903958,1690.0552681933038,1699.0289843723983,1707.9634873751857,1716.9069410916113,1725.8731458540867,1734.8420295438002,1878.0783543286718,1887.0253939401398,1896.0071939795666,1904.9303242217397,1922.8489200272643,2424.234715102789,2442.1472285685672,2612.2527388903522,2621.2289411409565,2630.173392869669,2648.083075292897,-3.541111172743947,0.02898110616874778,0.2978705072528,0.4539081837873773,0.47692426940028,-2.043084878863417,0.12962820612853468,8.953438305209772,1690.0599004860471,0
4621,4.655055370038463e-05,-6.769901907641937,1690.0535607453323,1699.022002637329,1707.9656056635733,1716.892570022,1725.8907278977724,1734.8403950020493,1878.0786875335473,1887.0260985369903,1896.011408735994,1904.9299427465962,1922.8505673343122,2424.235949620362,2442.1388756998354,2612.250793292377,2621.225289065,2630.1669554618193,2648.0674721863666,-3.5280371436262463,0.02936249369795254,0.1628534435487929,0.28321584047281023,0.23004607743931693,-2.0656449856715633,0.12673652096063387,8.953373683312721,1690.0606673487855,0
4622,5.598087133961347e-05,-6.789911717364838,1690.0587743285828,1699.0305056192271,1707.9654278274265,1716.890097764793,1725.8839731303294,1734.8414908990892,1878.075787804446,1887.0256615731048,1896.0177722291799,1904.929931025652,1922.8567576160403,2424.243482380254,2442.1391340051423,2612.2484323095314,2621.2265290791083,2630.1739486530523,2648.0871234151773,-3.5580696584856897,0.028493774376893183,0.24426033521825571,0.4354675914690145,0.23601604781937957,-2.065849520599732,0.12671060156622393,8.95342517122815,1690.0613180623989,0
4623,5.3798034232410406e-05,-6.777091361951723,1690.052866071497,1699.0220960514594,1707.96477429369,1716.890886043827,1725.8983645364517,1734.8375468065217,1878.0740980105688,1887.0319879757028,1896.0059437858308,1904.9301116912532,1922.850004768648,2424.235431812275,2442.145660826651,2612.251567922025,2621.228249102648,2630.1660842306915,2648.0782172286813,-3.5173781456290545,0.029677142400373956,0.5147146767596947,0.48083602766437505,0.22181286708254566,-2.0789111385290266,0.12506631797992915,8.953412134006742,1690.0600472476233,0
4624,4.475085765844141e-05,-6.783106855718869,1690.0589106029836,1699.0283027545404,1707.9633349417177,1716.8932149140214,1725.8707508998782,1734.8356062821176,1878.0799117953682,1887.0184860813827,1896.0078919524587,1904.9217867200168,1922.8536610222077,2424.2376045089113,2442.1431973722642,2612.2493481686374,2621.2318059771624,2630.17371372814,2648.0778941375142,-3.503112000618607,0.030103555218865156,0.5590834714569819,0.2713185531466178,0.325041733072825,-2.0925349760563154,0.12337398896725983,8.9534554640742,1690.0571358577763,0
4625,4.273066904338254e-05,-6.78018008693226,1690.0627191669587,1699.0280669582587,1707.9620264187918,1716.8939996961656,1725.8716409120752,1734.836420823422,1878.0795034495616,1887.0189143314462,1896.0047463123537,1904.9157833928282,1922.8526440795413,2424.2396092852646,2442.1437688113324,2612.2536386598867,2621.2304536666043,2630.173649265675,2648.0765636715614,-3.5374764825211007,0.02908663517843809,0.3873946840561137,0.35610179302153844,0.3050135402925609,-2.088036377698719,0.12393024924908892,8.953461515792753,1690.0568060937712,0
4626,4.434074178666235e-05,-6.78550953660546,1690.0561533176678,1699.0241985611358,1707.9705313827988,1716.9199752535735,1725.8864234777204,1734.8476562122923,1878.0809873734447,1887.0314533410717,1896.0151505809824,1904.9330259788549,1922.8409789124107,2424.2301378570764,2442.146951635228,2612.2666786354325,2621.234261863494,2630.16737100232,2648.0818855662747,-3.560857703250506,0.028414443099376414,0.41627318304493394,0.4206755391422705,0.2664756568694264,-2.053147760975009,0.12833031399190897,8.953402954424439,1690.0645473872876,0
4627,2.493000444990079e-05,-6.77384483980691,1690.057116666981,1699.0294097838648,1707.9792069729262,1716.920105957561,1725.8978955973973,1734.8371867768758,1878.074219079677,1887.0280347526011,1896.0094053568628,1904.9219744887143,1922.8411713514072,2424.2396337643117,2442.14682882967,2612.269100567492,2621.2284859594033,2630.1713310522377,2648.0742474557264,-3.503256171392656,0.030099215478846985,0.6425687612419221,0.28650409010296496,0.15933115304700007,-2.1074945975404864,0.12154209715851692,8.953395657180288,1690.06435669839,0
4628,3.217018177963193e-05,-6.768955756378198,1690.056203385503,1699.0270622658275,1707.9814204474917,1716.9174761339439,1725.8984890857853,1734.8370437683352,1878.0756102942523,1887.0260991607768,1896.0120828809256,1904.922955619874,1922.841529626049,2424.2359884330267,2442.1474037312714,2612.2703533645777,2621.228309066763,2630.170346528734,2648.0747227520174,-3.5023222794366355,0.030127338023730497,0.6887689255484705,0.27223530916953687,0.22512095623317085,-2.090051225720292,0.12368080001711106,8.95339498092288,1690.064252364963,0
4629,4.332872548954774e-05,-6.782699959028086,1690.062257080089,1699.0294490491576,1707.9794644982783,1716.918244980472,1725.896355946532,1734.8421027950174,1878.0756039162643,1887.032726164587,1896.0162280996756,1904.9233506029454,1922.837720245897,2424.2345771978326,2442.140228943844,2612.263193930218,2621.2308927491276,2630.1654687997493,2648.0781222328255,-3.484093999725153,0.030681543327429738,0.6850193777875441,0.2803715955251316,0.16608922652133273,-2.081281507814003,0.12477021569572555,8.953352439700724,1690.0662141415767,0
