,MEAN,LN_SIGLC,TTS_0_0,TTS_0_1,TTS_0_2,TTS_0_3,TTS_0_4,TTS_0_5,TTS_0_6,TTS_0_7,TTS_0_8,TTS_0_9,TTS_0_10,TTS_0_11,TTS_0_12,TTS_0_13,TTS_0_14,TTS_0_15,TTS_0_16,TTS_0_17,TTS_0_18,TTS_0_19,TTS_0_20,TTS_0_21,LN_ROR_0,ROR_0,IMPACT_0,LD_U1,LD_U2,LN_DUR14_0,DUR14_0,PERIOD_0,T0_0,QUALITY
2320,2.395839162581575e-05,-7.638160306770359,1687.6423072742252,1703.569860028031,1719.5080043868081,1735.4182970749137,1846.8910964128975,1862.8000980643108,1878.7317912686847,1894.6650617052107,1910.5798604089891,1926.5019600998498,2022.045999438152,2404.2016438710793,2420.1231331990284,2436.04451102674,2595.1788546371827,2643.0713816797297,2658.9860154643766,2754.5266066898853,2834.1414450308703,2850.0683146693896,2945.6045954755127,2961.5233450629757,-3.866897608004127,0.02092318074664571,0.19849950045423345,0.31025473339596443,0.2041315702293658,-1.7127020551829681,0.18037774293029396,15.923354295320053,1687.6498929073334,0
2321,2.63858429653958e-05,-7.628374718994525,1687.6402193973306,1703.5739137901273,1719.4975829469372,1735.4217218655194,1846.8876312167756,1862.8089523194726,1878.7345658415534,1894.663399528575,1910.5803113676154,1926.492261335047,2022.0456714053748,2404.2036045217624,2420.129096827136,2436.0493374779694,2595.1965741490467,2643.053629361675,2658.9882704184038,2754.5252694136498,2834.1430841507135,2850.067652081868,2945.6001940901947,2961.5272618719296,-3.78195311628919,0.022778159556822296,0.6788137031062156,0.2044837695257713,0.07697941199165115,-1.7194639535694727,0.1791621614124576,15.923372589831775,1687.649510545518,0
2322,1.5799688401032747e-05,-7.643085106483204,1687.6433462132754,1703.5764561006356,1719.498859151629,1735.422109156568,1846.8870767219548,1862.807144626587,1878.7312353143727,1894.6660187641533,1910.5789715709532,1926.4993976048206,2022.0476142144973,2404.201658410535,2420.125277698556,2436.0522352450794,2595.1937043504427,2643.056801850439,2658.988421237208,2754.5258987851457,2834.1382343786763,2850.066565414642,2945.601296096054,2961.5252211281813,-3.825332206506034,0.02181118850862852,0.5672097814027725,0.0955553227386785,0.279158367200941,-1.7292001397627963,0.1774262694464029,15.923340379308389,1687.6508174890944,0
2323,1.7602207798747168e-05,-7.629834186356423,1687.6399701879948,1703.5707632262245,1719.4982024939131,1735.4238304306668,1846.8852301257175,1862.8032772970244,1878.7383246605295,1894.6674984519354,1910.5813116405634,1926.4913135577683,2022.0442387172754,2404.19781494196,2420.127432383946,2436.0504223387993,2595.17182655764,2643.054337903101,2658.987921330617,2754.5273684918775,2834.142964901912,2850.066589464081,2945.6020063978535,2961.5274423998603,-3.825908707079029,0.02179861796976517,0.40826708953684676,0.13523931666305766,0.19405788426766746,-1.7245466432413648,0.17825384604305675,15.92335011870248,1687.6489474656823,0
2324,1.7546254333593493e-05,-7.641985562010867,1687.6433671783118,1703.5727543946925,1719.5012067047971,1735.4194211169852,1846.893135124249,1862.8011152797208,1878.736587618568,1894.6684609088547,1910.5791888225385,1926.5005150006027,2022.0425939105323,2404.200368426134,2420.1232576356642,2436.048723236108,2595.153698166729,2643.0688386117986,2658.990073370249,2754.526828539242,2834.139385894959,2850.0685496056994,2945.6011390427298,2961.524839808056,-3.8050140862928545,0.02225888361869559,0.6612644488658231,0.24397870796392573,0.2941076390082118,-1.695363002620595,0.18353259412149608,15.923313739298123,1687.650432185955,0
2325,1.6367888880883094e-05,-7.638603172770453,1687.651569551558,1703.5717992777843,1719.5007418969687,1735.4225518009664,1846.8845430613749,1862.8055888926074,1878.7349650034787,1894.6605360024932,1910.5862711197417,1926.492083900915,2022.0487004625966,2404.195204972172,2420.1208553305332,2436.039748730999,2595.185677867176,2643.069699813334,2658.9830946619763,2754.523890559997,2834.1397993149094,2850.064045633167,2945.6010366478936,2961.5299438590137,-3.774273966401554,0.02295374978720338,0.7844961308428561,0.35407552298854017,0.09011426885771923,-1.6890971399159453,0.18468619453469906,15.923327320805319,1687.6503223748305,0
2326,1.644408414205895e-05,-7.64169481262041,1687.6454557163324,1703.5709437064797,1719.4991657535134,1735.4236001661475,1846.8800604548892,1862.8036069227314,1878.7336093410452,1894.6691934171154,1910.5871007902529,1926.488621461102,2022.046939317842,2404.198330824903,2420.1192150676743,2436.0423700401957,2595.1825465885504,2643.078957235215,2658.9851572327666,2754.519709963133,2834.1397869943867,2850.0731392124612,2945.6016000856166,2961.5315508087047,-3.7709741921392146,0.023029617083611252,0.8224650705163283,0.2649253417405961,0.1713106144822627,-1.6758977287756325,0.1871401029941625,15.92337826170649,1687.6488733006659,0
2327,1.816803940795444e-05,-7.62913566832728,1687.639493124239,1703.5734615551162,1719.5040896315188,1735.4216072832248,1846.8865780433816,1862.811011102103,1878.7346933748374,1894.6645945257121,1910.5746243935625,1926.4897029071833,2022.0479830018428,2404.2005881643117,2420.1191078298084,2436.034899448259,2595.183101643259,2643.064072011526,2658.9850634522413,2754.5178596675255,2834.1473336332597,2850.085461142016,2945.6035930238445,2961.5203002016065,-3.7682341638275147,0.023092805415804,0.7880511568480807,0.3524410819572319,0.2421460996093585,-1.6836192439066318,0.18570066234049934,15.923368908485063,1687.6486886529833,0
2328,1.2824588570826474e-05,-7.640218554940658,1687.647823681312,1703.5671148568056,1719.4981000934258,1735.4207658495025,1846.8923000438406,1862.8024436763774,1878.7311300374317,1894.666842451952,1910.5824462621283,1926.4958673376598,2022.038155805306,2404.1986025456295,2420.1303977733423,2436.049475139372,2595.1854023840147,2643.0642044547094,2658.9853386232626,2754.51654424134,2834.1412502198045,2850.0798375120194,2945.600323099659,2961.525796691425,-3.786612245884706,0.02267228000430959,0.7507766261715498,0.2457025102617092,0.16438345951567523,-1.706347105253257,0.18152768449551768,15.923371587840755,1687.6490899988169,0
2329,1.2091414927563623e-05,-7.6357781927197275,1687.6517008629771,1703.5682348973335,1719.5014587516023,1735.4230130929461,1846.8925880243958,1862.8014254860639,1878.7348980086251,1894.6679088689305,1910.5842230490578,1926.4938792916926,2022.0382590895651,2404.203507853442,2420.1244444113167,2436.0438115262737,2595.184561863315,2643.0665895539964,2658.98592155111,2754.5203345746168,2834.1376620458504,2850.0803858503473,2945.607254920588,2961.52483827245,-3.8331208592035724,0.021641968589453945,0.47241885136938344,0.17561192231731315,0.25322516498249614,-1.7350188034205285,0.1763968833903773,15.923359156681666,1687.6502966920311,0
