,MEAN,LN_SIGLC,TTS_0_0,TTS_0_1,TTS_0_2,TTS_0_3,TTS_0_4,TTS_0_5,TTS_0_6,TTS_0_7,TTS_0_8,TTS_0_9,TTS_0_10,TTS_0_11,TTS_0_12,LN_ROR_0,ROR_0,IMPACT_0,LD_U1,LD_U2,LN_DUR14_0,DUR14_0,PERIOD_0,T0_0,QUALITY
1477,7.91965321786919e-06,-6.549396802869127,1765.6059427113398,1771.9813415050678,1778.3299918813998,1784.6986325472794,2853.749482070645,2860.1124896342503,2866.4782709468054,2872.839249410564,2879.202222485499,2885.573384018017,2891.927637362532,2898.284371089318,2904.652889378185,-3.103796704043813,0.044878488185391724,0.022285465691173064,0.39453031687427753,0.23250266668690922,-2.2300382601345854,0.10752431616228729,6.363389921184084,1765.6089568960663,0
1478,-1.2906213193989055e-05,-6.526155182226527,1765.6049473765902,1771.984723144409,1778.33326986196,1784.701472807518,2853.748192336757,2860.1115243118998,2866.475801080151,2872.8344243336082,2879.201122878343,2885.5720278554772,2891.9288611305087,2898.2894219775717,2904.6526747203425,-3.109299114129564,0.04463222647714933,0.12859139989483168,0.4047691345895692,0.2097329202939624,-2.2324303393545275,0.10726741686419235,6.363374337946847,1765.6110488862432,0
1479,2.521591315710555e-05,-6.539716895857509,1765.603271130248,1771.97808524421,1778.3299367617637,1784.6988710932933,2853.7508273920976,2860.1131370257967,2866.4785764788485,2872.838224192728,2879.201714721623,2885.5719328408186,2891.927510355434,2898.2844705600946,2904.647193133122,-3.0735608322672827,0.04625615086145462,0.40893257888823675,0.34517774191989314,0.2751460065345235,-2.2341651142168306,0.10708149336020986,6.363393789065019,1765.6075515706375,0
1480,1.0551095347643483e-07,-6.53757478771072,1765.6084428797358,1771.98453372329,1778.3303096188765,1784.700365504844,2853.7519005678905,2860.111952094202,2866.4754496731744,2872.8348883590306,2879.1999336935187,2885.565092565199,2891.9295841089047,2898.2869533592743,2904.652847806625,-3.1342075835507375,0.04353423741065008,0.3576922001491199,0.4557262702140146,0.23513138685535995,-2.197147018899802,0.11111972904935008,6.363371511854075,1765.6109149010217,0
1481,1.5052793553815603e-05,-6.5317261357081025,1765.6058191698567,1771.981619506906,1778.3279386518543,1784.699993986189,2853.749328635247,2860.112577738897,2866.477146586482,2872.837064890834,2879.201476574427,2885.5750394307483,2891.9281031843166,2898.285431986135,2904.657585096543,-3.0887599344572996,0.045558414810470946,0.14083461666180322,0.39065055075441624,0.3336679905596551,-2.2427775067199436,0.10616322542740932,6.363393463807502,1765.6087737814444,0
1482,1.6596157745976026e-05,-6.533801544315906,1765.6051194166932,1771.981878435154,1778.3282036129488,1784.7000740385074,2853.7479385091397,2860.112837290728,2866.478430255977,2872.8370677753596,2879.2017130109725,2885.5757917510973,2891.928507319814,2898.285311634052,2904.6563970412003,-3.0918020174936705,0.04542003292093001,0.27691811483936446,0.43912133020675825,0.3515895900836221,-2.233741704095837,0.10712684234820244,6.363393753615024,1765.6087496635605,0
1483,5.28678021904056e-05,-6.516551308522038,1765.6064722530127,1771.9807110353913,1778.3272985461551,1784.6996344632032,2853.750828029891,2860.109821309772,2866.477211328072,2872.838443091273,2879.2013601163885,2885.5711429589455,2891.9278210395773,2898.286164398855,2904.655866214542,-3.1088356914979323,0.04465291485435981,0.37932114759370655,0.33220479889071863,0.30548084289969557,-2.2327583207513664,0.10723224091581761,6.363391893038991,1765.608476299265,0
1484,2.5631445906305565e-05,-6.542135769422533,1765.6023130671952,1771.9840229077124,1778.3305477613858,1784.7013553225418,2853.7487625404183,2860.1119603543193,2866.4772435886866,2872.8385335143225,2879.204219436284,2885.572539191394,2891.9284886086207,2898.285872932944,2904.65640783947,-3.082523584065206,0.04584342082351251,0.26107437406021505,0.47781413630995684,0.11141778179333728,-2.219925870643779,0.10861716024669456,6.363389566937146,1765.6094893644376,0
1485,3.281689006377163e-05,-6.526837185086427,1765.6056014109192,1771.9819608949426,1778.3344366702408,1784.6992570226132,2853.753359885145,2860.1119831844976,2866.477398845562,2872.834184697952,2879.1984417351855,2885.570160292245,2891.928428372929,2898.285440092441,2904.655749769159,-3.0778090833822147,0.04606005993365107,0.508808389953124,0.39525485422158946,0.3988538158988575,-2.209652682936208,0.10973875603996354,6.363379228907494,1765.610295536237,0
1486,-1.7283025351988897e-05,-6.543294730814161,1765.6065714469635,1771.9813674926352,1778.3290576589427,1784.7003492795366,2853.74691423278,2860.1111595705834,2866.4741320449593,2872.836393939588,2879.203158558797,2885.5745932929717,2891.929803472859,2898.2866018694885,2904.65440569929,-3.0591536707169293,0.04692739444640815,0.5505131328773396,0.4236387376239261,0.056465532209255764,-2.2241728748152063,0.10815684089504145,6.36338657609008,1765.6092562893061,0
